Chr	bin	name	strand	Start	End	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames	ID	i.Start	i.End	Frequency	n_Sample	0	1	3	4	Type	Length	Check_gene
10																CNVR_131	23223369	23703141	3	3	1	1		1	Mixed	479773	Non_gene
10																CNVR_132	24799737	25059515	1	1	1				Loss	259779	Non_gene
10																CNVR_133	27012287	27057896	1	1	1				Loss	45610	Non_gene
10																CNVR_134	27274195	27297496	1	1			1		Gain	23302	Non_gene
10																CNVR_135	34858599	34914334	1	1	1				Loss	55736	Non_gene
10																CNVR_136	53652144	53771936	1	1	1				Loss	119793	Non_gene
10	126	NM_001206460	-	55635537	56320695	55637082	56299963	33	55635537,55640075,55641724,55687637,55701700,55707341,55709178,55714818,55729698,55744422,55748512,55757292,55758074,55767449,55834465,55865663,55918778,55928684,55930382,55943828,55967374,55969630,55972442,56007445,56008857,56035621,56049266,56051488,56152713,56153354,56296974,56319264,56320600,	55637368,55640235,55641817,55687785,55701781,55707398,55709302,55714968,55729787,55744500,55748590,55757436,55758171,55767576,55834551,55865797,55918907,55928774,55930451,55943985,55967538,55969746,55972612,56007587,56009085,56035841,56049340,56051571,56152778,56153377,56300223,56319336,56320695,	0	UNC13C	cmpl	cmpl	2,1,1,0,0,0,2,2,0,0,0,0,2,1,2,0,0,0,0,2,0,1,2,1,1,0,1,2,0,1,0,-1,-1,	CNVR_137	55628092	55725724	3	3	3				Loss	97633	Has_gene
10	1371	NM_173893	+	103095505	103103785	103095541	103102158	4	103095505,103101343,103102144,103103138,	103095608,103101619,103102172,103103785,	0	B2M	cmpl	cmpl	0,1,1,-1,	CNVR_138	103048740	103129795	1	1				1	Gain	81056	Has_gene
11																CNVR_139	4207906	4256064	1	1	1				Loss	48159	Non_gene
11																CNVR_140	16392452	18452325	1	1			1		Gain	2059874	Non_gene
11																CNVR_141	32020374	32088498	1	1	1				Loss	68125	Non_gene
11																CNVR_142	40026791	40064479	3	3			2	1	Gain	37689	Non_gene
11	171	NM_001192096	-	103394880	103437594	103396475	103437594	17	103394880,103399082,103399641,103401137,103401463,103401768,103402822,103405744,103406551,103407050,103407842,103408029,103413438,103416569,103422206,103423115,103437434,	103396778,103399201,103399757,103401240,103401672,103401905,103405172,103405829,103406685,103407180,103407939,103408169,103413580,103416650,103422368,103423378,103437594,	0	CAMSAP1	cmpl	cmpl	0,1,2,1,2,0,2,1,2,1,0,1,0,0,0,1,0,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1374	NM_001076281	-	103462729	103481881	103463175	103481689	11	103462729,103467637,103468370,103470898,103471867,103472250,103473321,103476705,103477542,103481551,103481839,	103463291,103467776,103468457,103471112,103471976,103472353,103473429,103476779,103477663,103481773,103481881,	0	UBAC1	cmpl	cmpl	1,0,0,2,1,0,0,1,0,0,-1,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	171	NM_001192649	-	103518767	103553637	103518767	103553637	5	103518767,103520379,103520772,103523079,103552754,	103519273,103520477,103520878,103523244,103553637,	0	NACC2	cmpl	cmpl	1,2,1,1,0,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1376	NM_001038620	-	103681198	103687920	103682284	103687831	6	103681198,103683409,103683695,103684583,103685351,103687737,	103682703,103683581,103683847,103684786,103685523,103687920,	0	LHX3	cmpl	cmpl	1,0,1,2,1,0,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1377	NM_001077111	-	103824068	103831134	103824219	103829894	13	103824068,103824403,103824934,103826234,103826553,103826962,103827837,103828072,103828294,103828543,103829381,103829710,103831077,	103824319,103824486,103825011,103826280,103826595,103827154,103827963,103828216,103828474,103828848,103829519,103829896,103831134,	0	CARD9	cmpl	cmpl	2,0,1,0,0,0,0,0,0,1,1,0,-1,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1377	NM_001046140	-	103858806	103865074	103859704	103864927	8	103858806,103860506,103861020,103861330,103861855,103862465,103863071,103864857,	103859804,103860646,103861083,103861442,103861929,103862873,103863184,103865074,	0	ENTR1	cmpl	cmpl	2,0,0,2,0,0,1,0,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1377	NM_001076964	+	103865176	103875087	103865180	103874350	13	103865176,103866575,103867204,103867465,103869103,103869977,103870456,103871012,103871305,103871514,103871684,103873079,103874180,	103865251,103866778,103867284,103867548,103869198,103870078,103870720,103871105,103871424,103871605,103871747,103873224,103875087,	0	PMPCA	cmpl	cmpl	0,2,1,0,2,1,0,0,0,2,0,0,1,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1377	NM_001192090	-	103877001	103884957	103877001	103884957	10	103877001,103877604,103877864,103878077,103878588,103878902,103879111,103879792,103881086,103884109,	103877134,103877741,103877980,103878239,103878696,103879022,103879236,103879890,103881210,103884957,	0	INPP5E	cmpl	cmpl	2,0,1,1,1,1,2,0,2,0,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1379	NM_001078038	+	104078013	104087184	104083266	104086878	10	104078013,104079572,104083224,104083549,104084633,104084901,104085130,104085898,104086506,104086855,	104078192,104079716,104083346,104083666,104084749,104084997,104085295,104085963,104086669,104087184,	0	EGFL7	cmpl	cmpl	-1,-1,0,2,2,1,1,1,0,1,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1379	NR_030923	+	104085472	104085545	104085545	104085545	1	104085472,	104085545,	0	MIR126	unk	unk	-1,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1379	NM_001080264	-	104087837	104100209	104088325	104100104	6	104087837,104089253,104091004,104091346,104091881,104099922,	104088501,104089326,104091100,104091522,104092015,104100209,	0	AGPAT2	cmpl	cmpl	1,0,0,1,2,0,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	172	NM_001077926	-	104176837	104214721	104177761	104214643	9	104176837,104177518,104183105,104186370,104187200,104188335,104189474,104194898,104214630,	104177495,104178449,104183234,104186406,104187248,104188386,104189522,104194971,104214721,	0	ABO	cmpl	cmpl	-1,2,2,2,2,2,2,1,0,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1380	NM_001075529	-	104240169	104246931	104240663	104246812	5	104240169,104241273,104242366,104243003,104246718,	104241143,104241477,104242455,104243198,104246931,	0	SURF6	cmpl	cmpl	0,0,1,1,0,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1380	NM_001034742	-	104249112	104255687	104249682	104255102	5	104249112,104252302,104253303,104254979,104255630,	104249875,104252511,104253384,104255141,104255687,	0	MED22	cmpl	cmpl	2,0,0,0,-1,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1380	NM_001040520	+	104255844	104259161	104255870	104259107	8	104255844,104256550,104257176,104257605,104257943,104258338,104258757,104259002,	104255873,104256671,104257326,104257746,104258023,104258469,104258827,104259161,	0	RPL7A	cmpl	cmpl	0,0,1,1,1,0,2,0,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1380	NM_001102509	-	104267121	104278746	104269156	104278576	6	104267121,104269990,104270541,104271088,104271710,104278528,	104269423,104270177,104270585,104271165,104271897,104278746,	0	SURF4	cmpl	cmpl	0,2,0,1,0,0,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1381	NM_001080263	+	104352262	104361245	104352289	104359761	5	104352262,104355558,104356175,104359029,104359670,	104352410,104355631,104356301,104359137,104361245,	0	CACFD1	cmpl	cmpl	0,1,2,2,2,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1381	NM_001080256	-	104361569	104368819	104362136	104368798	10	104361569,104363165,104363474,104363984,104364673,104365228,104366061,104366781,104368034,104368706,	104362292,104363311,104363660,104364093,104364826,104365440,104366161,104366988,104368197,104368819,	0	SLC2A6	cmpl	cmpl	0,1,1,0,0,1,0,0,2,0,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1381	NM_001193046	-	104400005	104408077	104400565	104408012	5	104400005,104401292,104403854,104404220,104407877,	104400715,104401409,104404003,104404335,104408077,	0	MYMK	cmpl	cmpl	0,0,1,0,0,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1381	NM_001205934	+	104418527	104449648	104418527	104449173	18	104418527,104419180,104420226,104421426,104422012,104422291,104426309,104428627,104433105,104434688,104439686,104444041,104444553,104444964,104445492,104446361,104448223,104449054,	104418617,104419323,104420302,104421529,104422158,104422415,104426390,104428803,104433454,104435061,104439784,104444168,104444767,104445120,104445663,104446538,104448368,104449648,	0	ADAMTSL2	cmpl	cmpl	0,0,2,0,1,0,1,1,0,1,2,1,2,0,0,0,0,1,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1381	NM_001206202	-	104452932	104454253	104452932	104454253	2	104452932,104454160,	104453328,104454253,	0	FAM163B	cmpl	cmpl	0,0,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1382	NM_180995	+	104498729	104516525	104498736	104516043	14	104498729,104501178,104503109,104504180,104504252,104504264,104504832,104508447,104511478,104511883,104512468,104513333,104513921,104515911,	104499054,104501325,104503367,104504252,104504263,104504357,104504935,104508614,104511622,104511922,104512528,104513461,104514081,104516525,	0	DBH	cmpl	cmpl	0,0,0,0,1,0,0,1,0,0,0,0,2,0,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1382	NM_001193041	-	104522792	104581977	104522840	104579959	22	104522792,104523730,104525999,104526684,104539212,104543207,104544762,104546299,104551969,104554062,104556884,104560796,104561183,104565233,104566574,104575832,104576082,104576892,104578425,104579625,104580548,104581892,	104522966,104523866,104526168,104526847,104539306,104543355,104544876,104546438,104552083,104554146,104557026,104560887,104561270,104565363,104566679,104575933,104576206,104577072,104578604,104579987,104580635,104581977,	0	SARDH	cmpl	cmpl	0,2,1,0,2,1,1,0,0,0,2,1,1,0,0,1,0,0,1,0,-1,-1,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1384	NM_001076873	-	104804411	104838104	104805154	104824216	12	104804411,104807026,104808390,104813009,104814055,104816996,104819347,104821348,104822159,104822803,104824003,104838049,	104805270,104807155,104808683,104813233,104814247,104817125,104819719,104821563,104822307,104822941,104824329,104838104,	0	BRD3	cmpl	cmpl	1,1,2,0,0,0,0,1,0,0,0,-1,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1385	NM_001105475	+	104869396	104883126	104871675	104882824	14	104869396,104871596,104872414,104872685,104873102,104873329,104873548,104877132,104878699,104880483,104881029,104881297,104881768,104882723,	104869570,104871756,104872523,104872759,104873192,104873419,104873632,104877188,104878746,104880559,104881063,104881372,104881856,104883126,	0	WDR5	cmpl	cmpl	-1,0,0,1,0,0,0,0,2,1,2,0,0,1,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1386	NM_001304343	+	105086959	105114880	105087015	105111591	9	105086959,105093698,105094293,105101215,105104646,105106023,105108157,105109699,105111443,	105087225,105093849,105094473,105101385,105104776,105106156,105108249,105109805,105114880,	0	RXRA	cmpl	cmpl	0,0,1,1,0,1,2,1,2,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1389	NM_001010996	-	105441660	105450278	105441660	105450278	9	105441660,105442881,105443886,105444481,105445001,105445962,105446409,105448792,105450175,	105441908,105443016,105444016,105444609,105445034,105445998,105446472,105448906,105450278,	0	FCN1	cmpl	cmpl	1,1,0,1,1,1,1,1,0,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1390	NM_001101879	+	105560461	105581642	105560652	105581317	5	105560461,105574624,105574638,105579439,105581311,	105560718,105574638,105574773,105579595,105581642,	0	OLFM1	cmpl	cmpl	0,0,0,0,0,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1392	NM_001037491	-	105816638	105821180	105816850	105821112	3	105816638,105819941,105820969,	105817039,105820020,105821180,	0	C11H9orf116	cmpl	cmpl	0,2,0,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1392	NM_001098877	+	105822040	105825257	105822119	105824825	4	105822040,105822251,105822771,105824209,	105822159,105822347,105822901,105825257,	0	MRPS2	cmpl	cmpl	0,1,1,2,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1392	NM_001034462	+	105895739	105897520	105895785	105897115	5	105895739,105896126,105896371,105896593,105897101,	105895839,105896193,105896455,105896701,105897520,	0	TMEM141	cmpl	cmpl	0,0,1,1,1,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	21	NM_001035502	+	105900331	105908460	105900380	105908377	14	105900331,105900936,105901466,105901717,105902090,105903656,105905238,105905462,105906020,105906728,105907130,105907384,105907563,105908258,	105900450,105901058,105901544,105901885,105902195,105903779,105905364,105905517,105906121,105906889,105907299,105907495,105907660,105908460,	0	CCDC183	cmpl	cmpl	0,1,0,0,0,0,0,0,1,0,2,0,0,1,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1393	NM_001076817	+	105908983	105928079	105909150	105927629	15	105908983,105916359,105917897,105918258,105919070,105920879,105921491,105922671,105924419,105924928,105925641,105925951,105926485,105927300,105927434,	105909280,105916494,105917945,105918311,105919162,105921020,105921597,105922775,105924712,105925079,105925857,105926162,105926657,105927359,105928079,	0	RABL6	cmpl	cmpl	0,1,1,1,0,2,2,0,2,1,2,2,0,1,0,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1393	NM_001076516	+	105936888	105938333	105936940	105938162	3	105936888,105937462,105938069,	105937100,105937587,105938333,	0	PHPT1	cmpl	cmpl	0,1,0,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1393	NM_001143873	+	105939634	105947121	105939634	105947121	27	105939634,105940162,105940343,105940596,105940881,105941087,105941288,105941566,105941795,105941967,105942396,105942565,105942841,105943082,105943781,105944013,105944290,105944496,105944790,105945050,105945249,105945479,105945768,105945987,105946198,105946785,105947079,	105939680,105940270,105940517,105940722,105941012,105941172,105941414,105941704,105941884,105942141,105942481,105942745,105942967,105943214,105943898,105944148,105944427,105944704,105944928,105945169,105945340,105945626,105945903,105946115,105946307,105946961,105947121,	0	MAMDC4	cmpl	cmpl	0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1393	NM_001035307	-	105948290	105952197	105948652	105952103	5	105948290,105949184,105949859,105950349,105952025,	105948714,105949278,105950020,105950401,105952197,	0	EDF1	cmpl	cmpl	1,0,1,0,0,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1393	NM_001192469	-	105981079	105985321	105981579	105984249	9	105981079,105981914,105982199,105982548,105983040,105983312,105983758,105984056,105985252,	105981823,105982127,105982347,105982966,105983189,105983487,105983916,105984272,105985321,	0	FBXW5	cmpl	cmpl	2,2,1,0,1,0,1,0,-1,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1393	NM_001110076	+	105986194	105987650	105986233	105987186	6	105986194,105986440,105986680,105986818,105987358,105987478,	105986371,105986577,105986751,105987270,105987397,105987650,	0	C8G	cmpl	cmpl	0,0,2,1,-1,-1,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1393	NM_174791	+	106021914	106024969	106021962	106024465	7	106021914,106022787,106023033,106023472,106023730,106024439,106024813,	106022076,106022927,106023110,106023589,106023832,106024465,106024969,	0	PTGDS	cmpl	cmpl	0,0,2,1,1,1,-1,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1394	NM_001100301	-	106039203	106043647	106041828	106043629	6	106039203,106042070,106042321,106042545,106042743,106043593,	106041987,106042246,106042428,106042671,106042853,106043647,	0	CLIC3	cmpl	cmpl	0,1,2,2,0,0,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1394	NM_001100300	+	106039645	106041217	106039735	106041058	6	106039645,106039917,106040372,106040604,106040836,106041018,	106039848,106039978,106040523,106040679,106040921,106041217,	0	PAXX	cmpl	cmpl	0,2,0,1,1,2,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1394	NM_001098164	-	106067964	106069085	106067964	106069085	2	106067964,106069072,	106068980,106069085,	0	FUT7	cmpl	cmpl	1,0,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1394	NM_001105489	-	106073481	106079275	106073779	106079119	9	106073481,106073957,106074220,106074378,106074560,106074697,106074959,106076133,106079007,	106073848,106074054,106074300,106074463,106074627,106074871,106075094,106076280,106079275,	0	NPDC1	cmpl	cmpl	0,2,0,2,1,1,1,1,0,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1394	NM_001105648	-	106080956	106086455	106081329	106086426	9	106080956,106081636,106082621,106082826,106083478,106083785,106084132,106084878,106086309,	106081533,106081771,106082741,106083081,106083706,106083945,106084283,106084996,106086455,	0	ENTPD2	cmpl	cmpl	0,0,0,0,0,2,1,0,0,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1394	NM_001105043	-	106130451	106134589	106130681	106134565	13	106130451,106130885,106131170,106131371,106131622,106132147,106132369,106132827,106132985,106133347,106133602,106133821,106134483,	106130790,106130956,106131235,106131528,106131741,106132208,106132536,106132909,106133121,106133511,106133742,106133935,106134589,	0	DPP7	cmpl	cmpl	2,0,1,0,1,0,1,0,2,0,1,1,0,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1395	NR_162358	+	106207730	106207786	106207786	106207786	1	106207730,	106207786,	0	MIR12014	unk	unk	-1,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1395	NM_001015539	+	106210966	106212439	106210987	106212021	3	106210966,106211425,106211913,	106211039,106211625,106212439,	0	SSNA1	cmpl	cmpl	0,1,0,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1395	NM_001103350	-	106213508	106220998	106213849	106220958	4	106213508,106214014,106214211,106219134,	106213912,106214121,106214443,106220998,	0	TPRN	cmpl	cmpl	0,1,0,0,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1395	NM_001046158	+	106224782	106233382	106224873	106232894	14	106224782,106225340,106228846,106229889,106230072,106230252,106230720,106230943,106231731,106231940,106232131,106232369,106232571,106232749,	106225008,106225418,106228944,106229988,106230174,106230462,106230842,106231164,106231839,106232055,106232278,106232488,106232666,106233382,	0	NDOR1	cmpl	cmpl	0,0,0,2,2,2,2,1,0,0,1,1,0,2,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1395	NM_001078088	+	106240674	106241679	106241029	106241410	2	106240674,106241021,	106240726,106241679,	0	CYSRT1	cmpl	cmpl	-1,0,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1395	NM_001034663	+	106254813	106257255	106254899	106257111	4	106254813,106255223,106255409,106256050,	106254956,106255332,106255520,106257255,	0	TUBB4B	cmpl	cmpl	0,0,1,1,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1396	NM_001102075	+	106405332	106414270	106405559	106411245	12	106405332,106407590,106408500,106409637,106410031,106410921,106411197,106412901,106413173,106413741,106413930,106414124,	106405736,106407673,106408609,106409772,106410139,106410978,106411806,106412941,106413232,106413853,106414045,106414270,	0	NOXA1	cmpl	cmpl	0,0,2,0,0,0,0,-1,-1,-1,-1,-1,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
11	1396	NM_001077927	-	106414232	106418732	106414706	106417424	10	106414232,106414995,106415243,106415531,106415864,106416186,106416450,106417099,106417298,106418680,	106414898,106415133,106415354,106415792,106416095,106416346,106416601,106417217,106417554,106418732,	0	ENTPD8	cmpl	cmpl	0,0,0,0,0,2,1,0,0,-1,	CNVR_143	103314790	106498854	3	3		1	1	1	Mixed	3184065	Has_gene
12																CNVR_144	34199608	34258544	1	1	1				Loss	58937	Non_gene
12																CNVR_145	41789189	43504096	1	1			1		Gain	1714908	Non_gene
12																CNVR_146	50029062	50104867	4	4	4				Loss	75806	Non_gene
12																CNVR_147	57541708	58330693	31	31	2	27	2		Mixed	788986	Non_gene
12																CNVR_148	58746483	58878268	5	5			5		Gain	131786	Non_gene
12																CNVR_149	61307520	61401960	2	2	1	1			Loss	94441	Non_gene
12																CNVR_150	69804346	71589418	75	71	19	7	48	1	Mixed	1785073	Non_gene
12																CNVR_151	71657701	71701903	2	2	1		1		Mixed	44203	Non_gene
12	142	NM_001105609	+	72904647	73009452	72904874	73009230	5	72904647,72997030,72997280,73008292,73009106,	72905088,72997192,72997362,73008400,73009452,	0	CLDN10	cmpl	cmpl	0,1,1,2,2,	CNVR_152	71881795	72996370	31	31	29	1		1	Mixed	1114576	Has_gene
12	18	NM_001206832	-	78130313	78765008	78133180	78765008	5	78130313,78134517,78237770,78245275,78764800,	78133317,78134716,78237874,78245386,78765008,	0	FGF14	cmpl	cmpl	1,0,1,1,0,	CNVR_153	78163435	78216262	7	7	7				Loss	52828	Has_gene
12																CNVR_154	79279720	81461384	5	5	3		2		Mixed	2181665	Non_gene
13	663	NR_162416	-	10302834	10302892	10302892	10302892	1	10302834,	10302892,	0	MIR2285DJ	unk	unk	-1,	CNVR_155	10297467	10395756	1	1	1				Loss	98290	Has_gene
13	84	NM_001102526	-	12436964	12479175	12438934	12459561	4	12436964,12441542,12459423,12479067,	12439908,12441795,12459642,12479175,	0	PROSER2	cmpl	cmpl	1,0,0,-1,	CNVR_156	12471939	12748454	2	2	1		1		Mixed	276516	Has_gene
13	680	NM_001193156	-	12518929	12533297	12518978	12533297	5	12518929,12522616,12526302,12527786,12533127,	12519290,12522817,12526400,12527908,12533297,	0	ECHDC3	cmpl	cmpl	0,0,1,2,0,	CNVR_156	12471939	12748454	2	2	1		1		Mixed	276516	Has_gene
13	682	NM_001192695	+	12718483	12773414	12718483	12772895	14	12718483,12722327,12724218,12731972,12745506,12751172,12755175,12757435,12759231,12762464,12763238,12763397,12765960,12771528,	12718538,12722395,12724301,12732012,12745587,12751280,12755285,12757484,12759352,12762559,12763304,12763497,12766113,12773414,	0	USP6NL	cmpl	cmpl	0,1,0,2,0,0,0,2,0,1,0,0,1,1,	CNVR_156	12471939	12748454	2	2	1		1		Mixed	276516	Has_gene
13																CNVR_157	20046991	20257287	1	1	1				Loss	210297	Non_gene
13																CNVR_158	41276409	41311826	1	1	1				Loss	35418	Non_gene
13	916	NM_001166223	+	43393447	43407853	43394600	43407689	10	43393447,43394553,43398213,43398669,43400040,43400526,43401447,43402432,43404844,43407646,	43393586,43394684,43398381,43398786,43400118,43400649,43401557,43402598,43404927,43407853,	0	LOC782061	cmpl	cmpl	-1,0,0,0,0,0,0,2,0,2,	CNVR_159	43322783	43433183	2	2			2		Gain	110401	Has_gene
13																CNVR_160	53368037	53391697	1	1	1				Loss	23661	Non_gene
